"","x"
"Usp39",0
"Cyp2e1",0.0286544220614535
"Cyp2a5",0.0658290701173639
"Cyp2c29",0.0799763616665025
"Gstm2",0.0814451928965095
"Rgn",0.0838542460740967
"Alb",0.0874590331496776
"Rnase4",0.0905626236923947
"Ces2c",0.0924467099165895
"Acaa1b",0.0933451193332492
"Mup17",0.0983534530534594
"Cps1",0.099687711641207
"Aldh2",0.0998949980908744
"Pon1",0.109081139172488
"Serpina1e",0.110004742306558
"Cyp2c54",0.110194902548726
"Hpd",0.111520329994107
"Mgst1",0.117850642545916
"Apoa5",0.11969696969697
"Slco1b2",0.126791024601244
"Ahsg",0.133005304208092
"Gulo",0.137475164297723
"Hsd17b13",0.143120676402767
"Cdo1",0.146202044630098
"Elovl3",0.152317880794702
"Serpina1b",0.155889957160723
"Prdx6",0.161855381165919
"Oat",0.172094895494706
"Gstp1",0.172828638497653
"Arg1",0.175408878504673
"Mup20",0.176959771158596
"Gsta3",0.18570992521748
"Cyp2c50",0.187380497131931
"Cyp3a11",0.190021338866257
"Gstm1",0.19553555978543
"Pck1",0.198043295732486
"Car3",0.203414763546917
"Aldh1a1",0.204408382869788
"Wfdc21",0.20478198761989
"Cyp2f2",0.20619307512767
"Fitm1",0.207100591715976
"Ang",0.208110939292662
"Slc1a2",0.208847736625514
"Uox",0.212511499540018
"H2-Q10",0.21601427014171
"Slc22a1",0.217569609324412
"Cyb5a",0.219984789589319
"Hsd11b1",0.221801091570649
"Aox3",0.223673633440515
"Arsg",0.228260869565217
"Glul",0.231830726770929
"Sord",0.234618208516887
"Serpina1a",0.236187605782303
"Akr1c6",0.238046983960948
"Saa1",0.240129217516152
"Mup3",0.241310445827583
"Mug1",0.24274705349048
"Mup11",0.243954584089038
"Lect2",0.244902039184326
"Lhpp",0.245572207084469
"Serpina1c",0.249020000235435
"Ly6e",0.249057492931197
"Ces1c",0.254922576945135
"Phyh",0.255285696024543
"Map1lc3a",0.257019438444924
"Cyp4a14",0.259121501948282
"Gna11",0.259259259259259
"Ak6",0.259259259259259
"Topors",0.259259259259259
"1810058I24Rik",0.263031191124137
"Itm2b",0.272573363431151
"Apoc3",0.281153328850033
"Slc13a3",0.282511210762332
"Rarres1",0.283088235294118
"Aldob",0.28739215794713
"Serpina12",0.290573954742994
"Dhcr7",0.294554455445545
"Pigr",0.297854488793
"Rida",0.298993875765529
"Inmt",0.299827520122652
"Elavl1",0.3
"Npr2",0.301724137931034
"Cyp2c67",0.304631644389183
"Eci1",0.306284805091488
"Saa2",0.310945680628272
"Fbp1",0.311564320932317
"Hal",0.316443119721808
"Igfbp3",0.318181818181818
"Col1a1",0.318181818181818
"2810001G20Rik",0.318181818181818
"Xpo6",0.318181818181818
"Taf11",0.318181818181818
"Prmt1",0.318181818181818
"Ptpn18",0.318181818181818
"Selenop",0.31971587600126
"Cyp2c37",0.32316414686825
"Cyp1a2",0.32355285082953
"Prdx1",0.324632724988659
"Kdsr",0.325581395348837
"Serpina7",0.325581395348837
"Rab10os",0.325581395348837
"Trf",0.328066832121964
"Tsc22d1",0.334839924670433
"Gls2",0.35256837891928
"Aldh3a2",0.355035971223022
"Hpx",0.355215989065666
"C9",0.35526776338817
"Mt1",0.360325919060859
"Ugt2b34",0.373040752351097
"Acly",0.375
"Plbd1",0.375
"Sds",0.37654996353027
"Amdhd1",0.376856435643564
"Acat1",0.377104377104377
"Nat8f2",0.393629254829807
"Fgb",0.396020143640304
"Cyp4a10",0.39634620367971
"Ass1",0.401655172413793
"Apoe",0.40300706719125
"Hsd17b4",0.404693760732685
"Fbxo22",0.40625
"Srsf9",0.406976744186046
"Tigd2",0.406976744186047
"Rgl1",0.406976744186047
"Cyp2c40",0.408928571428571
"Ugt2b38",0.409756097560976
"Alad",0.410576923076923
"Orm1",0.410695296523517
"Asl",0.411019141231247
"Nat2",0.416666666666667
"Slco1a1",0.417344173441734
"Ghitm",0.417758369723435
"Cyp2c68",0.419374068554396
"Gjb1",0.420049417578539
"Bax",0.420673076923077
"Ces2e",0.422068636796949
"Por",0.422901921132457
"Aldh1b1",0.424879807692308
"Gstt3",0.427777777777778
"Cyp2c69",0.429313929313929
"Sp5",0.429824561403509
"Ptpn1",0.4375
"Lsm8",0.4375
"Tlcd2",0.4375
"Extl3",0.4375
"Nxpe2",0.4375
"Acyp2",0.4375
"Tbx3",0.4375
"Phrf1",0.4375
"Helz2",0.439613526570048
"Ahsa2",0.440944881889764
"Acaa2",0.443263473053892
"Mcm10",0.443333333333333
"Cyp27a1",0.443871359223301
"Ccdc85b",0.444444444444444
"Ikbkg",0.444444444444444
"Cited2",0.444444444444445
"Etnppl",0.444594594594595
"Serpina6",0.446932006633499
"Rdh16",0.449324324324324
"Csrp2",0.44954128440367
"Serpina1d",0.450837842347389
"Galnt1",0.451612903225807
"Avpi1",0.452247191011236
"Gldc",0.455048409405256
"Aqp1",0.46124031007752
"Ugt3a1",0.46124031007752
"Hibadh",0.463759909399773
"Adh1",0.464256784123127
"Psen2",0.464259395725866
"Erh",0.466666666666667
"Rps16",0.468724939855654
"Zdhhc4",0.46875
"2310061I04Rik",0.47239263803681
"Trak1",0.475728155339806
"Ces3a",0.476378958120531
"Gc",0.477714779212977
"Sult2a8",0.477805041267009
"Mup9",0.478701050620822
"Bcap31",0.479050279329609
"Scamp2",0.479452054794521
"Ankfy1",0.479452054794521
"Ddx56",0.481884057971015
"Ctsc",0.483031674208145
"Igfbp2",0.484192658603862
"Ftcd",0.485011312217195
"Rps29",0.48558981233244
"Sec24c",0.486111111111111
"Mug2",0.486163863266413
"Blvrb",0.487799834574028
"Gstk1",0.492866004962779
"Cyp2d9",0.494901427600272
"Upb1",0.494949494949495
"Mup10",0.496062992125984
"Slc27a2",0.499639509733237
"Edem1",0.5
"Tcf7l2",0.5
"Macrod1",0.502564102564103
"Cyp2d40",0.503642987249545
"Tpm3",0.504237288135593
"Gapdh",0.504926108374384
"Rbx1",0.506578947368421
"Apoa1",0.507053847033269
"Thrsp",0.507452574525745
"Slc25a13",0.50763358778626
"Hamp",0.50781295807681
"Znhit2",0.509090909090909
"Mrpl3",0.509090909090909
"Csad",0.509588068181818
"H2afy",0.511538461538461
"Adamtsl2",0.511538461538462
"Ubb",0.512844909609895
"Rps4x",0.513253638253638
"Gm35696",0.515503875968992
"Crls1",0.517045454545455
"Tm2d2",0.518
"Fam25c",0.518744551002615
"Hnrnph1",0.522388059701492
"Ndufa12",0.524640657084189
"Paqr9",0.524822695035461
"Zfp707",0.526315789473684
"Hsd17b10",0.527748691099477
"Fga",0.529111087770893
"Hmbs",0.53125
"Ndufab1",0.534136546184739
"Tor1a",0.534518828451883
"Herc4",0.534722222222222
"Aes",0.535232383808096
"Dram2",0.537128712871287
"Slc25a47",0.537377154825197
"Fdx1",0.538461538461538
"Mlycd",0.540441176470588
"Metap1",0.543103448275862
"Cdh5",0.543103448275862
"Arhgef3",0.543103448275862
"Tpm1",0.543103448275862
"Tnpo1",0.543103448275862
"Clmn",0.543103448275862
"Dnajc2",0.543103448275862
"Notum",0.543103448275862
"Ugt2b35",0.543596730245231
"Dirc2",0.543918918918919
"Mup21",0.544263249854397
"Lifr",0.545808966861598
"Etfa",0.547749263777871
"Shc1",0.55
"Blmh",0.550925925925926
"Prdx3",0.551063829787234
"Chchd1",0.551422319474836
"Mpc2",0.5519537410198
"Commd1",0.553359683794466
"Cyp2d26",0.553359683794466
"Irgm1",0.554166666666667
"Arfgef1",0.554878048780488
"Ulk2",0.558823529411765
"Afg1l",0.56
"Pwp1",0.56
"Polr1c",0.56
"Snrpd1",0.56
"Hspb1",0.56
"Sumf1",0.56
"Nedd1",0.56
"Mustn1",0.56
"Scarf1",0.56
"Nup85",0.56
"Amn1",0.56
"Adrb3",0.56
"Ylpm1",0.56
"Mettl7b",0.560473639695517
"Pgk1",0.560879811468971
"Cs",0.561567164179104
"Hsd17b6",0.562121212121212
"Nnmt",0.562814070351759
"Slc19a2",0.563559322033898
"Aars",0.564741035856574
"Psmg4",0.566901408450704
"Bccip",0.566901408450704
"Eci2",0.570040214477212
"Apoc1",0.570754838212239
"Rrp1",0.571052631578947
"Alg14",0.572727272727272
"Bcat2",0.572727272727273
"Mfge8",0.572727272727273
"Ehhadh",0.572947576656775
"Ugt2b1",0.573982737361282
"Eng",0.575503355704698
"Snrnp200",0.577319587628866
"Chmp2b",0.578740157480315
"Cd81",0.579935275080906
"Psmd12",0.580310880829015
"Acot1",0.581457663451233
"Ube2d3",0.582530949105915
"Mical3",0.583333333333333
"Trim7",0.583333333333333
"Fer",0.583333333333333
"Zc3h4",0.583333333333333
"Dnajb2",0.583333333333333
"Plrg1",0.583333333333333
"Plekhf2",0.583333333333333
"Rsf1",0.583333333333333
"Mylip",0.583333333333333
"Fyb",0.583333333333333
"Alg3",0.583333333333333
"Col6a3",0.583333333333333
"Lrp4",0.583333333333333
"Pofut1",0.583333333333333
"Pmepa1",0.583333333333333
"Pigv",0.583333333333333
"Klhl5",0.583333333333333
"Zkscan14",0.583333333333333
"Pias1",0.583333333333333
"Jmjd6",0.583333333333333
"Stau2",0.583333333333333
"Fam135a",0.583333333333333
"Adam23",0.583333333333333
"Rab3gap2",0.583333333333333
"Adal",0.583333333333333
"Mertk",0.583333333333333
"Zfp120",0.583333333333333
"Mageh1",0.583333333333333
"Dclre1b",0.583333333333333
"Fam131c",0.583333333333333
"Ddx55",0.583333333333333
"Tuba8",0.583333333333333
"Rassf8",0.583333333333333
"Cyp2b10",0.583333333333333
"Fchsd2",0.583333333333333
"Prss53",0.583333333333333
"Mcu",0.583333333333333
"Tmem263",0.583333333333333
"Sugp1",0.583333333333333
"Crtc1",0.583333333333333
"Lrrc25",0.583333333333333
"Kcnn1",0.583333333333333
"Cbfb",0.583333333333333
"Kars",0.583333333333333
"Dcp1a",0.583333333333333
"Col5a3",0.583333333333333
"Scpep1",0.583333333333333
"Fam120aos",0.583333333333333
"Arsb",0.583333333333333
"Ncald",0.583333333333333
"Exosc4",0.583333333333333
"Gsk3b",0.583333333333333
"Senp7",0.583333333333333
"Pnldc1",0.583333333333333
"Zfp523",0.583333333333333
"Xpo5",0.583333333333333
"Gm35986",0.583333333333333
"Nr1h2",0.583333333333333
"Cdk17",0.583333333333333
"Tpd52",0.583333333333334
"Klhl18",0.583333333333334
"Kremen1",0.583333333333334
"Gm47428",0.583333333333334
"Serinc5",0.583333333333334
"Rab26os",0.583333333333334
"Mad2l1bp",0.583333333333334
"Prob1",0.583333333333334
"Cenpo",0.583333333333334
"Rhbdf2",0.583333333333334
"Cyp2d22",0.588405797101449
"Nrn1",0.588910133843212
"Ndufs2",0.589077887197851
"Apoa2",0.590022975950313
"Cyp4a12b",0.590447154471544
"Dynll1",0.591216216216216
"Mpc1",0.591818181818182
"Mrpl49",0.592307692307692
"Fibp",0.595
"Rbp4",0.595163751017087
"Cisd1",0.595511482254697
"Gstm3",0.596325167037862
"Dnm2",0.596412556053811
"Fermt2",0.599099099099099
"Rpl11",0.599709155285787
"Sqstm1",0.600635593220339
"Lamtor4",0.601047120418848
"Atf1",0.601226993865031
"Mrpl28",0.601282051282051
"Map3k11",0.603448275862069
"Capn1",0.603448275862069
"Chpt1",0.604092526690391
"Sptssa",0.604166666666667
"Glrx",0.604674796747967
"Cib3",0.605263157894737
"Fgg",0.606511972783182
"Vmp1",0.60948275862069
"Akr1a1",0.610538116591929
"Smim19",0.611650485436893
"Tm9sf4",0.611650485436893
"Ctnnd1",0.6125
"Eif5b",0.6125
"Gstt1",0.612891207153502
"Ttc1",0.614035087719298
"Arap1",0.614035087719298
"Aspg",0.614864864864865
"Rpl13",0.616522018643523
"Tst",0.616772823779193
"Tm9sf3",0.61698717948718
"Aasdhppt",0.61764705882353
"Cyp4f15",0.619565217391304
"Rps19",0.62159434914228
"Cnbp",0.621776504297994
"Spc24",0.622222222222222
"Lpcat3",0.622222222222222
"Mrpl34",0.622384937238494
"Rpl32",0.62280036407767
"Tdo2",0.622971037555697
"Pcgf6",0.625
"Fabp4",0.625
"Mfsd8",0.625
"Bag3",0.625
"Marcks",0.625
"Hook3",0.625
"Eaf1",0.625
"Ccng1",0.625
"Aadat",0.625
"Pepd",0.626016260162602
"Mocos",0.626016260162602
"Klhdc2",0.626865671641791
"Cyp4a12a",0.627637130801688
"Aldh4a1",0.63168449197861
"Cnih1",0.633783783783784
"Pyurf",0.634057971014493
"Cyp8b1",0.635324311712552
"Rps24",0.635597682991048
"Cpsf4",0.636363636363636
"Tardbp",0.636363636363636
"Zfp335",0.636363636363636
"Camsap3",0.636363636363636
"Srp9",0.636590584878745
"Atp5o.1",0.638474295190713
"Slc25a25",0.638513513513513
"C6",0.638568129330254
"C8g",0.63906773113572
"Hist1h1c",0.639130434782609
"Cfh",0.640243902439024
"Ubl4a",0.640243902439025
"Man2c1",0.640243902439025
"Vps9d1",0.64367816091954
"Got1",0.644230769230769
"Fabp1",0.645105609347551
"Aqp9",0.64624183006536
"Psma6",0.646306818181818
"Me1",0.646651270207852
"Fabp5",0.646686449060336
"Rdh7",0.64691011235955
"Eef1b2",0.647213114754098
"Ndufs7",0.647226173541963
"Zfp513",0.648148148148148
"Uvrag",0.648148148148148
"BC017158",0.648148148148148
"Tbk1",0.648148148148148
"Larp4b",0.648148148148148
"Hat1",0.648148148148148
"Gsdmd",0.648148148148148
"Tmem9b",0.648148148148148
"Ankrd24",0.648148148148148
"Bin3",0.648148148148148
"Iffo2",0.648148148148148
"Chdh",0.649484536082474
"Exosc1",0.65
"Ttc13",0.65
"Chchd10",0.650697045359967
"Zmiz1",0.651162790697674
"Rdm1",0.651162790697674
"Trip11",0.651162790697674
"Stt3b",0.651162790697674
"Fasn",0.651162790697674
"Dnajc8",0.651162790697674
"Kmt2b",0.651162790697674
"Tk2",0.651162790697675
"Ddx3y",0.651162790697675
"Rps26",0.651521409885722
"Sfxn1",0.652272727272727
"Cd302",0.652444076222038
"Tmbim1",0.652542372881356
"Rplp1",0.65291387313048
"Ppp1r37",0.65625
"Siae",0.65625
"Lmbrd1",0.65625
"Gstm6",0.65625
"Yars",0.65625
"Hacd3",0.65625
"Insig1",0.656497175141243
"Tmem56",0.656862745098039
